¼ø¼­,±¸ºÐ,À½½Ä¸í,¿µ¹®,À½½Ä¼³¸í
1,,°¡ÁöººÀ½,stir-fried Eggplant,"Lightly salted eggplant stir-fried with minced green onion, garlic, and soy sauce. This is a nutritious and vitamin-rich side dish that is easy to make and great for overcoming fatigue."
2,Á£°¥,°£Àå°ÔÀå,Crab Marinated in Soy Sauce,"A marinated crab dish. The crab is marinated for three days in soy sauce, then the soy sauce is poured out, boiled, and poured back over the crab. It is left to sit for another three days before serving."
3,±¸ÀÌ,°¥ºñ±¸ÀÌ,Marinated and Grilled Beef Short Ribs,"Beef short ribs marinated in a mixture of soy sauce, green onions, garlic, black pepper, sugar and sesame oil for a few hours, then grilled. Marinated short ribs are called yangnyeom-galbi and ribs which are not marinated are called saenggalbi. Galbi-gui is also known as bulgalbi. This is one of the most popular dishes in Korea."
4,Âò,°¥ºñÂò,Braised Short Ribs,"Beef short ribs cut into chunks, seasoned with soy sauce, garlic, sugar and other spices, then simmered over a long period with pieces of Korean radish, carrots, chestnuts, jujubes, and ginkgo nuts. The dish is topped with julienned egg garnish and ground pine nuts."
5,"±¹,ÅÁ",°¥ºñÅÁ,Short Rib Soup,
6,±¸ÀÌ,°¥Ä¡±¸ÀÌ,Grilled Hairtail,"Hairtail (a long, flat silver fish) cut into 10 centimeter lengths and grilled with salt."
7,Á¶¸²,°¥Ä¡Á¶¸²,Braised Hairtail,"Hairtail (a long, fiat silver fish) cut into l0 centimeter lengths and braised with white radish or other vegetables in soy sauce until reduced."
8,ººÀ½,°¨ÀÚººÀ½,Sauteed Potato,Julienned potatoes sauteed in oil and served as a side dish.
9,"Àü,Àû",°¨ÀÚÀü,Pan-fried Potato,Thin slices of potato dipped in a flour batter and pan-fried.
10,Á¶¸²,°¨ÀÚÁ¶¸²,Braised Potato,"Cubed potatoes braised with fish or dried anchovies, soy sauce and oil. Served as a side dish."
11,±èÄ¡,°«±èÄ¡,Mustard Leaf Kimchi,"A kimchi made of gat, a kind of mustard leaf. The stems and leaves are seasoned with pickled anchovy sauce. The strong flavor of the mustard leaf and the anchovy is what makes this kimchi popular."
12,,°Ç»õ¿ìººÀ½,Stir-fried Dried Shrimp,
13,¶±,°æ´Ü,Sweet Rice Balls,"Rice cake made with glutinous rice flour, rolled into balls and cooked in boiling water. The cooked rice balls are then rolled in ground soybeans or red beans."
14,,°è¶õ¸»ÀÌ,Rolled Omelet,"Eggs mixed with chopped green onions, carrots, and onions, fried and rolled up."
15,,°è¶õÂò,Steamed Eggs,"Similar to egg souffle, this steamed egg dish is made with eggs well mixed with chopped mushroom, fishcake, and other ingredients, and seasoned with saeujeot (salted shrimp) or salt. Its soft texture and beautiful color are particularly appealing to children and the elderly."
16,"±¹,ÅÁ",°è¶õÅÁ,Egg Soup,Soup made by adding beaten eggs and chopped green onions to a boiling meat or vegetable broth.
17,,°è¶õÈÄ¶óÀÌ,Fried Egg,
18,±¸ÀÌ,°íµî¾î±¸ÀÌ,Grilled Mackerel,Mackerel sprinkled with salt and grilled.
19,Á¶¸²,°íµî¾îÁ¶¸²,Braised Mackerel,"Mackerel seasoned with soy sauce, green onions, garlic and red chili pepper powder, then braised over low heat until reduced."
20,³ª¹°,°í»ç¸®³ª¹°,Fiddlehead Namul,"Side dish of fiddleheads that have been dried, soaked in water, then lightly pan-fried and seasoned."
21,,°íÃßÀåÁø¹ÌÃ¤ººÀ½,Stir-fried Dried Squid Strips,"Ojingeochae is made by seasoning squid with sugar and salt and then shredding it after it is dried. Also called ¡°jinmichae,¡± ojingeochae is made by adding shredded squid to a boiling gochujang (red chili paste) sauce in an oily pan."
22,,°íÃßÆ¢±è,Deep-fried Chili Pepper,
23,"±¹,ÅÁ",°õÅÁ,Thick Beef Soup,Soup made from a stock of beef bones simmered for eight to twelve hours. The broth has a milky appearance and the meat is very tender. Gomtang is not seasoned during the cooking process and is served with salt and chopped green onions on the side so it can be seasoned to taste at the table. This soup is generally served with kkakdugi (a kimchi made of radishes).
24,±¸ÀÌ,°öÃ¢±¸ÀÌ,Grilled Beef Tripe,Beef tripe seasoned with spices or salt and grilled.
